raman_shift;e00;e10;e_unknown
2598.463308;200.8057975;8144.30542;10311.36293
2603.184993;162.7702793;8093.950501;10173.72463
2607.641836;162.7449082;7963.696205;10219.26957
2612.096226;136.7296579;7921.542501;10059.99778
2616.809969;108.7245024;7762.489359;9888.909267
2621.259316;85.72941524;7752.536745;9767.004057
2625.967723;36.74437031;7659.684628;9637.282166
2630.412036;39.7693413;7715.932971;9551.743607
2634.853907;17.80430195;7731.281741;9551.388396
2639.554405;28.84922599;7804.730899;9453.216544
2643.991254;-7.09591286;7837.280408;9491.228063
2648.686439;16.96885912;8069.930228;9441.422963
2653.118274;-23.95648364;8226.680321;9491.801252
2657.547678;11.12803328;8376.530644;9554.362936
2662.234987;-48.7776133;8598.481154;9572.108022
2666.65939;-38.67344656;8799.531808;9588.036514
2671.341408;-64.55948482;9104.68256;9696.148414
2675.760819;-36.43574253;9582.933365;9862.443724
2680.177808;-54.30222769;10217.28417;9982.922444
2684.851983;-100.1589447;11248.73494;10372.58457
2689.263993;-91.00589243;12673.28561;10862.43011
2693.673587;-64.84305989;14697.93613;11533.45904
2698.339938;-107.6704269;17317.68645;12403.67137
2702.744565;-110.4879669;20719.53651;13726.06709
2707.146783;-111.2956425;24552.48626;15338.64618
2711.80533;-110.0934053;28249.53563;17072.40864
2716.202593;-109.8811957;31200.68456;18733.35446
2720.597452;-123.6589433;32894.93299;20404.48362
2725.248215;-109.4265666;33153.28083;21386.7961
2729.638132;-99.18397175;32222.72803;21925.29188
2734.025651;-102.931054;30544.27451;21785.97094
2738.668649;-104.6676988;29193.92018;21213.83326
2743.051239;-116.393781;28527.66496;20298.8788
2747.431437;-78.10916544;28613.50876;19886.10754
2752.066689;-63.81370499;28785.4515;19669.51945
2756.44197;-66.50724488;28714.49307;19614.11448
2760.814864;-51.18962393;27700.63339;19400.89259
2765.442391;-4.860674329;26146.87234;18856.85375
2769.81038;-1.520223141;24460.20983;17866.99792
2774.175991;24.83190304;23069.64575;16969.32504
2778.79581;51.19587779;22192.17999;16171.83506
2783.156527;85.57187466;21902.81244;15713.52794
2787.51487;95.96006721;22244.54297;15471.40362
