raman_shift;stw
3000.950969;33054.94292
3005.191584;25364.0582
3009.429923;20065.96768
3013.665987;16352.80934
3017.899779;13550.8951
3022.1313;11370.18695
3026.360552;9596.85373
3030.587537;8109.695956
3035.060699;6786.939777
3039.283022;5634.577011
3043.503083;4628.789949
3047.720885;3821.22212
3051.936429;3169.734451
3056.149716;2682.977166
3060.36075;2532.692887
3064.569531;2635.19676
3068.776061;3051.3664
3072.980342;3620.906204
3077.182377;4300.88417
3081.629142;5029.841211
3085.826556;5753.412615
3090.021728;6523.184216
3094.21466;7314.531107
3098.405354;8075.602755
