Wellenlange;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125
2603.184993;2.04439E-05;2.03619E-05;1.88355E-05;1.84247E-05;2.02124E-05;1.75343E-05;1.90237E-05;2.02018E-05;2.02211E-05;1.8742E-05;2.1763E-05;1.93361E-05;1.79939E-05;1.84429E-05;1.96747E-05;1.999E-05;1.82695E-05;1.89988E-05;2.05465E-05;1.74052E-05;1.84389E-05;2.0348E-05;2.16092E-05;1.97073E-05;1.84377E-05;1.98541E-05;1.98982E-05;2.13583E-05;2.04663E-05;1.9368E-05;1.94841E-05;2.26655E-05;2.04643E-05;2.01772E-05;2.141E-05;2.1844E-05;1.91991E-05;1.96375E-05;2.22044E-05;2.06166E-05;2.13886E-05;2.17518E-05;2.15109E-05;2.19721E-05;2.15766E-05;2.08995E-05;2.36665E-05;2.32461E-05;2.33221E-05;2.28288E-05;2.17514E-05;2.27142E-05;2.26944E-05;2.34143E-05;2.28671E-05;2.41579E-05;2.64042E-05;2.46297E-05;2.59425E-05;2.52583E-05;2.57636E-05;2.42667E-05;2.36779E-05;2.52963E-05;2.52638E-05;2.67487E-05;2.59285E-05;2.59712E-05;2.48672E-05;2.86943E-05;2.47757E-05;2.675E-05;2.6684E-05;2.73627E-05;2.32607E-05;2.34825E-05;2.5399E-05;2.37743E-05;2.58363E-05;2.30396E-05;2.44366E-05;2.64758E-05;2.61285E-05;2.379E-05;2.26494E-05;2.43787E-05;2.65318E-05;2.27054E-05;2.54457E-05;2.4764E-05;2.29049E-05;2.47369E-05;2.65375E-05;2.56555E-05;2.56262E-05;2.57935E-05;2.25005E-05;2.39784E-05;2.70625E-05;2.42564E-05;2.52292E-05;2.47738E-05;2.54084E-05;2.47368E-05;2.60074E-05;2.39222E-05;2.48592E-05;2.76385E-05;2.58815E-05;2.49432E-05;2.74575E-05;2.46811E-05;2.77528E-05;2.49485E-05;2.40609E-05;2.53422E-05;2.44747E-05;2.34735E-05;2.37481E-05;2.28923E-05;2.5434E-05;2.29786E-05;2.48163E-05;2.36727E-05;2.37799E-05;2.6641E-05
2607.641836;1.56355E-05;1.829E-05;1.98473E-05;1.81153E-05;1.86069E-05;1.74678E-05;1.9613E-05;1.72032E-05;1.78398E-05;1.71847E-05;1.73211E-05;1.78943E-05;1.82805E-05;1.78378E-05;1.92311E-05;1.9938E-05;1.91186E-05;2.01095E-05;1.93508E-05;1.62977E-05;1.81858E-05;2.05532E-05;1.67849E-05;2.08244E-05;2.06826E-05;1.97422E-05;1.99889E-05;1.98491E-05;2.03786E-05;2.01122E-05;1.83772E-05;1.71701E-05;1.9042E-05;2.13201E-05;1.95506E-05;1.90271E-05;1.84055E-05;1.97763E-05;2.12011E-05;2.07247E-05;2.04671E-05;1.9668E-05;2.35658E-05;2.14661E-05;2.07178E-05;2.00273E-05;2.0839E-05;2.50184E-05;2.23068E-05;2.38625E-05;2.51325E-05;2.20128E-05;2.41598E-05;2.06576E-05;2.20421E-05;2.24852E-05;2.31934E-05;2.21255E-05;2.37972E-05;2.12754E-05;2.40244E-05;2.55027E-05;2.21201E-05;2.67744E-05;2.30103E-05;2.3403E-05;2.57961E-05;2.38907E-05;2.30308E-05;2.4424E-05;2.16329E-05;2.57351E-05;2.36969E-05;2.56946E-05;2.41162E-05;2.15863E-05;2.3586E-05;2.39177E-05;2.26401E-05;2.34465E-05;2.35031E-05;2.54784E-05;2.5167E-05;2.34026E-05;2.49849E-05;2.45294E-05;2.37484E-05;2.24566E-05;2.15467E-05;2.41109E-05;2.24177E-05;2.33819E-05;2.48551E-05;2.38181E-05;2.37073E-05;2.66578E-05;2.58703E-05;2.37126E-05;2.85031E-05;2.35417E-05;2.21414E-05;2.59081E-05;2.21531E-05;2.4079E-05;2.27449E-05;2.49671E-05;2.38964E-05;2.48126E-05;2.25196E-05;2.45083E-05;2.49571E-05;2.51604E-05;2.17554E-05;2.49773E-05;2.26756E-05;2.45448E-05;2.24642E-05;2.09553E-05;2.50928E-05;2.28405E-05;2.39757E-05;2.48211E-05;2.43672E-05;2.17124E-05;2.21001E-05;2.38921E-05
2612.096226;1.86668E-05;1.79022E-05;1.72287E-05;1.79582E-05;1.68835E-05;1.68926E-05;1.83684E-05;1.56537E-05;1.86315E-05;1.75965E-05;1.81831E-05;1.87598E-05;1.74437E-05;1.75086E-05;1.84226E-05;1.75311E-05;1.52781E-05;1.87952E-05;1.82796E-05;2.00606E-05;1.86127E-05;2.14087E-05;1.90218E-05;1.67632E-05;1.92956E-05;1.96E-05;1.81198E-05;2.11755E-05;1.97609E-05;1.82023E-05;1.94592E-05;1.95289E-05;1.87809E-05;1.9668E-05;2.03954E-05;2.05216E-05;2.06983E-05;2.06405E-05;2.29416E-05;2.35838E-05;1.7676E-05;2.04688E-05;2.20321E-05;2.08955E-05;2.01764E-05;2.04924E-05;2.12961E-05;2.16593E-05;1.99498E-05;2.24653E-05;2.53089E-05;2.05404E-05;2.08771E-05;1.79627E-05;2.29514E-05;2.17123E-05;2.34343E-05;2.19138E-05;2.29766E-05;2.30643E-05;2.00104E-05;2.29011E-05;2.45288E-05;2.61667E-05;2.16016E-05;2.16532E-05;2.29146E-05;2.23306E-05;2.40419E-05;2.22482E-05;2.2653E-05;2.45219E-05;2.19181E-05;2.29485E-05;2.44154E-05;2.10896E-05;2.37928E-05;2.26221E-05;2.2513E-05;2.529E-05;2.39095E-05;2.52331E-05;2.61421E-05;2.3375E-05;2.33129E-05;2.5979E-05;2.11588E-05;2.32467E-05;2.19719E-05;2.37167E-05;2.2221E-05;2.19661E-05;2.52527E-05;2.5007E-05;2.41847E-05;2.35267E-05;2.49307E-05;2.21588E-05;2.36304E-05;2.40253E-05;2.21734E-05;2.15699E-05;2.40654E-05;2.29194E-05;2.44331E-05;2.39962E-05;2.2715E-05;2.17365E-05;2.67286E-05;2.21512E-05;2.23954E-05;2.3022E-05;2.41555E-05;2.26708E-05;2.23024E-05;2.18546E-05;2.10243E-05;2.17546E-05;2.29016E-05;2.0642E-05;2.15082E-05;2.21807E-05;2.16775E-05;2.3354E-05;2.38333E-05;2.35453E-05
2616.809969;1.47642E-05;1.75168E-05;1.87855E-05;1.5462E-05;1.52523E-05;1.40352E-05;1.72463E-05;1.54326E-05;1.70098E-05;1.63156E-05;1.82591E-05;1.78679E-05;1.84946E-05;1.72115E-05;1.69134E-05;1.39627E-05;1.59463E-05;1.87416E-05;1.77021E-05;1.67987E-05;1.67569E-05;1.7473E-05;1.47256E-05;1.76335E-05;1.6419E-05;1.58516E-05;1.93323E-05;1.73622E-05;1.88003E-05;1.76354E-05;1.68829E-05;1.76327E-05;1.63545E-05;1.78585E-05;1.71525E-05;1.84909E-05;1.87379E-05;1.80966E-05;2.0423E-05;1.86313E-05;1.78301E-05;2.04762E-05;1.82432E-05;2.0165E-05;1.90614E-05;1.80879E-05;1.89762E-05;2.23769E-05;2.06238E-05;2.15456E-05;2.16401E-05;1.74316E-05;2.13764E-05;1.94111E-05;1.62037E-05;2.1291E-05;1.94105E-05;2.02761E-05;2.01455E-05;1.97236E-05;2.04718E-05;1.98736E-05;1.98732E-05;2.17158E-05;2.19184E-05;2.03892E-05;2.25142E-05;2.2109E-05;2.08555E-05;2.1511E-05;2.28099E-05;2.19674E-05;2.0726E-05;2.24808E-05;2.25612E-05;2.11445E-05;2.27899E-05;2.11281E-05;2.24159E-05;2.09492E-05;2.04505E-05;2.26545E-05;2.16978E-05;2.046E-05;2.11837E-05;2.35928E-05;2.41879E-05;2.15979E-05;2.08999E-05;2.18245E-05;1.78444E-05;2.17784E-05;2.10242E-05;2.22602E-05;2.29941E-05;2.20972E-05;2.19475E-05;1.95057E-05;2.32847E-05;2.21498E-05;2.18607E-05;2.04746E-05;2.06882E-05;1.90539E-05;2.29395E-05;2.22703E-05;2.16615E-05;2.128E-05;2.16988E-05;2.09629E-05;2.20429E-05;1.91178E-05;2.11601E-05;2.00814E-05;1.95626E-05;2.0745E-05;1.88281E-05;1.91448E-05;2.09962E-05;2.12569E-05;1.9042E-05;2.19421E-05;2.02206E-05;2.00067E-05;1.98186E-05;2.04831E-05
2621.259316;1.48274E-05;1.50016E-05;1.61412E-05;1.67803E-05;1.71964E-05;1.45766E-05;1.5464E-05;1.50928E-05;1.50882E-05;1.53391E-05;1.70341E-05;1.50062E-05;1.31597E-05;1.49342E-05;1.51307E-05;1.65171E-05;1.46534E-05;1.60477E-05;1.63259E-05;1.63115E-05;1.42231E-05;1.60422E-05;1.86361E-05;1.67985E-05;1.69582E-05;1.76384E-05;1.79312E-05;1.78485E-05;1.68415E-05;1.63193E-05;1.58386E-05;1.62372E-05;1.64068E-05;1.72104E-05;1.83113E-05;1.89775E-05;1.82888E-05;1.81078E-05;1.77143E-05;1.78526E-05;1.76665E-05;1.8707E-05;1.5723E-05;1.92743E-05;1.75634E-05;1.85502E-05;1.93343E-05;1.93011E-05;1.88388E-05;2.10073E-05;2.02098E-05;1.97354E-05;1.82177E-05;1.83501E-05;1.70114E-05;2.04158E-05;1.71916E-05;2.09628E-05;1.9513E-05;2.34846E-05;2.04106E-05;2.01245E-05;1.95091E-05;2.06134E-05;1.9328E-05;2.27776E-05;1.91682E-05;2.09345E-05;1.97954E-05;2.38185E-05;1.92266E-05;2.11738E-05;2.13309E-05;2.27271E-05;1.91403E-05;2.29899E-05;2.22407E-05;2.01212E-05;2.19564E-05;1.9124E-05;1.86257E-05;2.12544E-05;2.26051E-05;2.12498E-05;1.98676E-05;2.21154E-05;2.30575E-05;1.83552E-05;2.10297E-05;2.05813E-05;1.8775E-05;2.06494E-05;1.99458E-05;2.00507E-05;1.86859E-05;2.06067E-05;2.00673E-05;1.80498E-05;2.19985E-05;2.08428E-05;2.18015E-05;2.27794E-05;1.90767E-05;2.20229E-05;1.85477E-05;2.01048E-05;1.71737E-05;2.07306E-05;1.96038E-05;2.1101E-05;1.90743E-05;1.89396E-05;2.05019E-05;2.08407E-05;2.04555E-05;2.01738E-05;1.69495E-05;2.07048E-05;1.84604E-05;1.66919E-05;1.88829E-05;1.94625E-05;2.07228E-05;2.14297E-05;1.99746E-05;2.02018E-05
2625.967723;1.25207E-05;1.43803E-05;1.3619E-05;1.31176E-05;1.35271E-05;1.49396E-05;1.46768E-05;1.55386E-05;1.56146E-05;1.4092E-05;1.26596E-05;1.62107E-05;1.49743E-05;1.74443E-05;1.51211E-05;1.19722E-05;1.44041E-05;1.59351E-05;1.46123E-05;1.49317E-05;1.49613E-05;1.3839E-05;1.6106E-05;1.60568E-05;1.73425E-05;1.5912E-05;1.72462E-05;1.51263E-05;1.47891E-05;1.55965E-05;1.60449E-05;1.33086E-05;1.72433E-05;1.67502E-05;1.61367E-05;1.39874E-05;1.70827E-05;1.53101E-05;1.50677E-05;1.74211E-05;1.66782E-05;1.6461E-05;1.65353E-05;1.77467E-05;1.53005E-05;1.70349E-05;1.78722E-05;1.88679E-05;1.55201E-05;1.60561E-05;1.79118E-05;1.89927E-05;1.90651E-05;1.91504E-05;1.74947E-05;1.5606E-05;2.04255E-05;2.10316E-05;1.89742E-05;1.85792E-05;1.8853E-05;1.8552E-05;2.05079E-05;2.20133E-05;1.97677E-05;2.3007E-05;1.89896E-05;1.77271E-05;1.85677E-05;2.02878E-05;1.89792E-05;2.0508E-05;2.06898E-05;2.0298E-05;1.91057E-05;1.84085E-05;1.83937E-05;1.8687E-05;1.87815E-05;1.65763E-05;1.96134E-05;1.94242E-05;1.83882E-05;1.90863E-05;1.83871E-05;1.92717E-05;1.98141E-05;1.94988E-05;1.66374E-05;1.98894E-05;2.07354E-05;1.88932E-05;1.96562E-05;2.0426E-05;2.03655E-05;1.97787E-05;1.74649E-05;2.15664E-05;1.99916E-05;2.18986E-05;2.12713E-05;1.96742E-05;1.69945E-05;1.66179E-05;1.96105E-05;2.05262E-05;1.81727E-05;1.90473E-05;2.07586E-05;2.06729E-05;1.82831E-05;2.00884E-05;1.74149E-05;1.94852E-05;1.74343E-05;1.97936E-05;1.9589E-05;1.92028E-05;1.81998E-05;1.88574E-05;2.12835E-05;1.77421E-05;1.65525E-05;1.90954E-05;1.9563E-05;1.78998E-05
2630.412036;1.17775E-05;1.11786E-05;1.1639E-05;1.32991E-05;1.25021E-05;1.36211E-05;1.27476E-05;1.28812E-05;1.09793E-05;1.07282E-05;1.21949E-05;1.30184E-05;1.39616E-05;1.43158E-05;1.47462E-05;1.28765E-05;1.43092E-05;1.51476E-05;9.85352E-06;1.16731E-05;1.44349E-05;1.40167E-05;1.17183E-05;1.25863E-05;1.26041E-05;1.38127E-05;1.17067E-05;1.44292E-05;1.49523E-05;1.34369E-05;1.33741E-05;1.35401E-05;1.65104E-05;1.44365E-05;1.45589E-05;1.46929E-05;1.45525E-05;1.38683E-05;1.54798E-05;1.49016E-05;1.47384E-05;1.21846E-05;1.49332E-05;1.61858E-05;1.65045E-05;1.78763E-05;1.45579E-05;1.54058E-05;1.50723E-05;1.49379E-05;1.6411E-05;1.66775E-05;1.50356E-05;1.64769E-05;1.66563E-05;1.67548E-05;1.61981E-05;1.50505E-05;1.50972E-05;1.76605E-05;1.57662E-05;1.65532E-05;1.76958E-05;1.92115E-05;1.64843E-05;2.03264E-05;1.60611E-05;1.55958E-05;1.69757E-05;1.81298E-05;1.48592E-05;1.83371E-05;1.94242E-05;1.78005E-05;1.57116E-05;1.88455E-05;1.68596E-05;1.60092E-05;1.64858E-05;1.99782E-05;1.64408E-05;1.78861E-05;1.68954E-05;1.8102E-05;1.71331E-05;1.5874E-05;1.7576E-05;1.63829E-05;1.6146E-05;1.85774E-05;1.62643E-05;1.7673E-05;1.76365E-05;1.94483E-05;1.63752E-05;1.79136E-05;1.51155E-05;1.57404E-05;1.66041E-05;1.81078E-05;1.48841E-05;1.93397E-05;1.75595E-05;1.55598E-05;1.90356E-05;1.73547E-05;1.74394E-05;1.73655E-05;1.81934E-05;1.64295E-05;1.85023E-05;1.68831E-05;1.55916E-05;1.72149E-05;1.74456E-05;1.40782E-05;1.4776E-05;1.72281E-05;1.67085E-05;1.78647E-05;1.75886E-05;1.72545E-05;1.57619E-05;1.48669E-05;1.81098E-05;1.66727E-05
2634.853907;1.29879E-05;1.34441E-05;1.22127E-05;1.20714E-05;1.1839E-05;1.07414E-05;1.28366E-05;1.15818E-05;1.06639E-05;1.29642E-05;1.34886E-05;9.94889E-06;1.3954E-05;1.30784E-05;1.30591E-05;1.18842E-05;1.38472E-05;1.13817E-05;1.02956E-05;1.23289E-05;1.15944E-05;1.4473E-05;1.23473E-05;1.46669E-05;1.50379E-05;1.63153E-05;1.45386E-05;1.35452E-05;1.30247E-05;1.52746E-05;1.3517E-05;1.37402E-05;1.30469E-05;1.30326E-05;1.42068E-05;1.34463E-05;1.51711E-05;1.43501E-05;1.68369E-05;1.25708E-05;1.36208E-05;1.32972E-05;1.41549E-05;1.30024E-05;1.54797E-05;1.08755E-05;1.63139E-05;1.61471E-05;1.36652E-05;1.42965E-05;1.62838E-05;1.50002E-05;1.68078E-05;1.75282E-05;1.34671E-05;1.59022E-05;1.6035E-05;1.77304E-05;1.86309E-05;1.56347E-05;1.62132E-05;1.77349E-05;1.63439E-05;1.73171E-05;1.66874E-05;1.52907E-05;1.679E-05;1.76171E-05;1.69197E-05;1.59349E-05;1.85054E-05;1.91677E-05;1.60616E-05;1.7483E-05;1.67791E-05;1.77465E-05;1.71489E-05;1.73768E-05;1.77486E-05;1.63775E-05;1.72587E-05;1.66069E-05;1.69772E-05;1.76407E-05;1.87764E-05;1.79667E-05;1.60508E-05;1.65479E-05;1.71162E-05;1.75887E-05;1.47523E-05;1.64542E-05;1.72239E-05;1.5574E-05;1.78053E-05;1.66795E-05;1.93444E-05;1.4981E-05;1.72716E-05;1.64277E-05;1.61831E-05;1.62064E-05;1.71812E-05;1.79037E-05;1.76741E-05;1.86617E-05;1.59193E-05;1.81451E-05;1.51563E-05;1.78019E-05;1.63887E-05;1.86657E-05;1.48742E-05;1.60191E-05;1.6479E-05;1.8058E-05;1.56495E-05;1.72754E-05;1.59762E-05;1.71574E-05;1.68954E-05;1.54099E-05;1.633E-05;1.83457E-05;1.70996E-05;1.71519E-05
2639.554405;8.82529E-06;9.67537E-06;1.21574E-05;8.9543E-06;1.02465E-05;7.89327E-06;8.47241E-06;1.14595E-05;8.90072E-06;6.97045E-06;1.15417E-05;1.15216E-05;8.92894E-06;1.22381E-05;1.13119E-05;1.04339E-05;1.22516E-05;1.04115E-05;1.08306E-05;1.23075E-05;1.06367E-05;9.98286E-06;1.1552E-05;1.05141E-05;1.16967E-05;1.08891E-05;1.08664E-05;1.02E-05;1.45917E-05;1.1428E-05;1.19707E-05;9.93482E-06;1.19048E-05;1.04972E-05;1.12755E-05;1.2356E-05;1.34258E-05;1.24012E-05;1.35558E-05;1.24526E-05;1.25018E-05;1.34887E-05;1.12477E-05;1.34403E-05;1.45487E-05;1.1936E-05;1.2421E-05;1.48788E-05;1.35967E-05;1.51547E-05;1.37194E-05;1.4922E-05;1.22597E-05;1.29845E-05;1.452E-05;1.46594E-05;1.43508E-05;1.63971E-05;1.5912E-05;1.43833E-05;1.25993E-05;1.58253E-05;1.39791E-05;1.93564E-05;1.51897E-05;1.54084E-05;1.63707E-05;1.39719E-05;1.54834E-05;1.5014E-05;1.56664E-05;1.53249E-05;1.46591E-05;1.64776E-05;1.21078E-05;1.56331E-05;1.44335E-05;1.48885E-05;1.48578E-05;1.73523E-05;1.45381E-05;1.4569E-05;1.70244E-05;1.44879E-05;1.68347E-05;1.53454E-05;1.38739E-05;1.34933E-05;1.39215E-05;1.41902E-05;1.51059E-05;1.5048E-05;1.697E-05;1.6741E-05;1.61804E-05;1.62649E-05;1.62421E-05;1.44114E-05;1.65896E-05;1.58822E-05;1.4239E-05;1.48365E-05;1.47883E-05;1.3479E-05;1.32876E-05;1.50197E-05;1.52516E-05;1.40055E-05;1.50534E-05;1.41917E-05;1.5853E-05;1.49892E-05;1.4505E-05;1.54556E-05;1.52292E-05;1.525E-05;1.60819E-05;1.36918E-05;1.43918E-05;1.57243E-05;1.43708E-05;1.55873E-05;1.33935E-05;1.37712E-05;1.5616E-05;1.49152E-05
2643.991254;7.607E-06;9.09145E-06;8.89129E-06;1.03415E-05;7.00387E-06;9.88613E-06;9.61779E-06;9.31876E-06;1.06721E-05;7.48409E-06;1.04442E-05;1.02441E-05;9.65368E-06;8.59404E-06;1.10318E-05;1.01168E-05;1.00433E-05;9.71847E-06;9.79708E-06;1.13314E-05;9.64848E-06;1.00992E-05;8.89862E-06;1.01444E-05;9.2869E-06;1.03445E-05;1.03683E-05;1.25246E-05;1.19456E-05;1.10474E-05;9.73582E-06;1.11979E-05;1.21424E-05;1.16348E-05;1.29026E-05;8.87274E-06;1.14585E-05;1.24704E-05;1.11563E-05;1.2523E-05;1.14762E-05;1.24736E-05;1.25613E-05;1.26685E-05;1.11022E-05;1.11458E-05;1.30239E-05;1.61569E-05;1.40368E-05;1.32613E-05;1.34889E-05;1.36551E-05;1.08513E-05;1.03013E-05;1.26427E-05;1.22851E-05;1.41154E-05;1.40895E-05;1.2833E-05;1.35169E-05;1.36223E-05;1.41064E-05;1.52868E-05;1.56314E-05;1.31656E-05;1.28115E-05;1.37242E-05;1.33662E-05;1.62708E-05;1.64159E-05;1.32529E-05;1.3569E-05;1.53146E-05;1.57943E-05;1.37879E-05;1.43313E-05;1.49765E-05;1.52046E-05;1.54272E-05;1.46931E-05;1.32871E-05;1.52514E-05;1.58547E-05;1.54658E-05;1.35556E-05;1.21373E-05;1.29943E-05;1.44994E-05;1.55379E-05;1.4303E-05;1.54596E-05;1.50263E-05;1.28761E-05;1.22705E-05;1.47453E-05;1.5222E-05;1.41478E-05;1.30249E-05;1.49665E-05;1.46768E-05;1.42485E-05;1.33421E-05;1.44439E-05;1.57309E-05;1.37564E-05;1.33021E-05;1.33555E-05;1.18224E-05;1.4573E-05;1.16233E-05;1.62327E-05;1.38071E-05;1.52099E-05;1.71032E-05;1.2812E-05;1.49374E-05;1.10198E-05;1.24142E-05;1.29029E-05;1.28386E-05;1.35208E-05;1.57655E-05;1.32996E-05;1.18187E-05;1.40065E-05;1.11944E-05
